"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.156879917×10^0,1.067521776×10^-1,1.323669291×10^0,-3.539424884×10^-1,1.374325909×10^0
2.166829917×10^0,1.209870049×10^-1,1.141011044×10^0,-3.112040198×10^-1,1.188861641×10^0
2.176778917×10^0,1.401575399×10^-1,9.640269363×10^-1,-2.556871922×10^-1,1.007158384×10^0
2.186728917×10^0,1.446360320×10^-1,7.750893652×10^-1,-1.859683549×10^-1,8.101032866×10^-1
2.196677917×10^0,1.321234656×10^-1,5.899390358×10^-1,-1.163689470×10^-1,6.156512064×10^-1
2.206627917×10^0,1.302294063×10^-1,3.888176215×10^-1,-6.785342932×10^-2,4.156235423×10^-1
2.216576917×10^0,1.568267092×10^-1,1.847743535×10^-1,-3.249882460×10^-3,2.423772683×10^-1
2.226526917×10^0,1.724652337×10^-1,2.088040709×10^-3,4.294772588×10^-2,1.777445467×10^-1
2.236475917×10^0,1.586899245×10^-1,-1.987503684×10^-1,9.847054683×10^-2,2.727281607×10^-1
2.246425917×10^0,1.555811792×10^-1,-3.707315987×10^-1,1.379463422×10^-1,4.250607191×10^-1
2.256374917×10^0,1.666952378×10^-1,-5.717752451×10^-1,1.927254704×10^-1,6.259850958×10^-1
2.266323917×10^0,1.424913099×10^-1,-7.689468652×10^-1,2.194437376×10^-1,8.122429494×10^-1
2.276273917×10^0,1.305622590×10^-1,-9.625458366×10^-1,2.367034757×10^-1,9.997847400×10^-1
2.286222917×10^0,1.132729925×10^-1,-1.134320076×10^0,2.857733095×10^-1,1.175235801×10^0
2.296172917×10^0,1.257602332×10^-1,-1.307477766×10^0,2.755115191×10^-1,1.342095504×10^0
2.306121917×10^0,1.303643308×10^-1,-1.470492291×10^0,2.908242074×10^-1,1.504633230×10^0
2.316071917×10^0,1.359852226×10^-1,-1.639239426×10^0,2.928133571×10^-1,1.670729643×10^0
2.326020917×10^0,1.346356122×10^-1,-1.797271539×10^0,2.810054898×10^-1,1.824082185×10^0
2.335970917×10^0,1.344275244×10^-1,-1.944595061×10^0,3.029723096×10^-1,1.972641105×10^0
2.345919917×10^0,1.402366966×10^-1,-2.092459450×10^0,3.081553546×10^-1,2.119672759×10^0
2.355869917×10^0,1.109149201×10^-1,-2.225771289×10^0,3.152491236×10^-1,2.250720321×10^0
2.365818917×10^0,9.869306993×10^-2,-2.346664227×10^0,3.221745658×10^-1,2.370731906×10^0
2.375768917×10^0,9.199731365×10^-2,-2.462946051×10^0,3.073871036×10^-1,2.483757956×10^0
2.385717917×10^0,9.687893473×10^-2,-2.579140166×10^0,2.936122330×10^-1,2.597606142×10^0
2.395667917×10^0,9.425178073×10^-2,-2.669365042×10^0,2.992357926×10^-1,2.687737931×10^0
2.405616917×10^0,9.347221898×10^-2,-2.782893412×10^0,3.093657283×10^-1,2.801595965×10^0
2.415566917×10^0,9.500206986×10^-2,-2.845558607×10^0,2.960937913×10^-1,2.862499033×10^0
2.425515917×10^0,9.634078989×10^-2,-2.912894558×10^0,2.913013402×10^-1,2.929008829×10^0
2.435465917×10^0,-5.106561125×10^0,-2.949878197×10^0,1.289491146×10^0,6.036682476×10^0
2.445414917×10^0,-1.805050528×10^0,-3.244129384×10^0,8.082628123×10^-1,3.799456757×10^0
